@RELATION streaming_users

@ATTRIBUTE User_ID NUMERIC
@ATTRIBUTE Minutes_Watched_Per_Day NUMERIC
@ATTRIBUTE Viewing_Sessions_Per_Week NUMERIC
@ATTRIBUTE Unique_Shows_Per_Month NUMERIC

@DATA
1,132,9,28
2,465,8,22
3,300,12,23
4,136,34,5
5,101,33,1
6,50,48,1
7,151,23,19
8,496,24,2
9,244,37,21
10,360,35,12
11,488,44,26
12,117,40,6
13,402,22,23
14,129,27,4
15,160,35,23
16,338,1,11
17,373,35,24
18,521,37,27
19,443,47,17
20,415,14,6
21,221,3,24
22,306,1,5
23,190,5,20
24,489,26,2
25,343,14,6
26,51,39,22
27,282,27,11
28,590,9,16
29,504,15,16
30,88,15,1
31,540,26,9
32,505,42,28
33,219,13,27
34,592,32,6
35,596,39,16
36,273,49,29
37,534,32,3
38,160,4,20
39,514,30,28
40,50,37,27
41,196,23,4
42,303,39,19
43,417,45,26
44,345,15,3
45,43,43,19
46,271,29,20
47,375,36,7
48,594,13,20
49,369,32,9
50,121,7,1
51,396,22,8
52,484,28,7
53,457,2,18
54,538,42,8
55,64,45,1
56,235,6,11
57,110,28,28
58,591,28,25
59,417,44,25
60,31,44,18
61,419,20,23
62,595,30,10
63,135,11,3
64,506,28,7
65,431,25,28
66,585,39,16
67,191,33,26
68,231,1,16
69,299,27,25
70,300,13,20
71,485,41,28
72,491,3,17
73,281,39,2
74,325,6,1
75,367,8,16
76,82,27,12
77,246,9,5
78,217,37,5
79,409,33,27
80,522,42,23
81,70,44,9
82,186,24,9
83,44,15,3
84,94,32,19
85,550,32,16
86,373,24,16
87,158,41,3
88,501,49,20
89,92,49,24
90,168,12,22
91,528,39,24
92,421,2,1
93,448,3,24
94,318,49,20
95,408,37,11
96,519,49,17
97,260,17,8
98,70,49,4
99,57,2,6
100,164,2,8
